TRANSACTIONTYPE;"NUM POLICE

4036";CODE GARANTIE;TYPE GARANTIE
G;000000000369410;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000369410;BG;BRIS DE GLACE
G;000000000369410;CAS;CONTRE ASSURANCE SPECIALE
G;000000000369410;CP;COUT DE POLICE
G;000000000369410;DOC;DOMMAGES AVEC COLLISION
G;000000000369410;INC;INCENDIE
G;000000000369410;PIDC;PACKAGE IND CONDUCTEUR
G;000000000369410;RC;RESPONSABILITE CIVILE
G;000000000369410;RTI;RECOURS TIERS INCENDIE
G;000000000369410;VOL;VOL
G;000000000369410;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000369410;BG;BRIS DE GLACE
G;000000000369410;CAS;CONTRE ASSURANCE SPECIALE
G;000000000369410;CP;COUT DE POLICE
G;000000000369410;DOC;DOMMAGES AVEC COLLISION
G;000000000369410;INC;INCENDIE
G;000000000369410;PIDC;PACKAGE IND CONDUCTEUR
G;000000000369410;RC;RESPONSABILITE CIVILE
G;000000000369410;RTI;RECOURS TIERS INCENDIE
G;000000000369410;VOL;VOL
G;000000000369410;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000369410;BG;BRIS DE GLACE
G;000000000369410;CAS;CONTRE ASSURANCE SPECIALE
G;000000000369410;CP;COUT DE POLICE
G;000000000369410;DOC;DOMMAGES AVEC COLLISION
G;000000000369410;INC;INCENDIE
G;000000000369410;PIDC;PACKAGE IND CONDUCTEUR
G;000000000369410;RC;RESPONSABILITE CIVILE
G;000000000369410;RTI;RECOURS TIERS INCENDIE
G;000000000369410;VOL;VOL
G;000000000369410;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000369410;BG;BRIS DE GLACE
G;000000000369410;CAS;CONTRE ASSURANCE SPECIALE
G;000000000369410;CP;COUT DE POLICE
G;000000000369410;DOC;DOMMAGES AVEC COLLISION
G;000000000369410;INC;INCENDIE
G;000000000369410;PIDC;PACKAGE IND CONDUCTEUR
G;000000000369410;RC;RESPONSABILITE CIVILE
G;000000000369410;RTI;RECOURS TIERS INCENDIE
G;000000000369410;VOL;VOL
G;000000000369986;CAS;CONTRE ASSURANCE SPECIALE
G;000000000369986;CP;COUT DE POLICE
G;000000000369986;INC;INCENDIE
G;000000000369986;RC;RESPONSABILITE CIVILE
G;000000000369986;RTI;RECOURS TIERS INCENDIE
G;000000000369986;VOL;VOL
G;000000000370413;AAA;PRISE EN CHARGE
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;EXF;EXT. TIERCE FORCES DE LA NATUR
G;000000000370413;EXI;EXTENSION INCENDIE
G;000000000370413;INC;INCENDIE
G;000000000370413;PIDC;PACKAGE IND CONDUCTEUR
G;000000000370413;PIPT;PACKAGE IPT
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;AAA;PRISE EN CHARGE
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;EXF;EXT. TIERCE FORCES DE LA NATUR
G;000000000370413;EXI;EXTENSION INCENDIE
G;000000000370413;INC;INCENDIE
G;000000000370413;PIDC;PACKAGE IND CONDUCTEUR
G;000000000370413;PIPT;PACKAGE IPT
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;AAA;PRISE EN CHARGE
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;EXF;EXT. TIERCE FORCES DE LA NATUR
G;000000000370413;EXI;EXTENSION INCENDIE
G;000000000370413;INC;INCENDIE
G;000000000370413;PIDC;PACKAGE IND CONDUCTEUR
G;000000000370413;PIPT;PACKAGE IPT
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;INC;INCENDIE
G;000000000370413;PIDC;PACKAGE IND CONDUCTEUR
G;000000000370413;PIPT;PACKAGE IPT
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;INC;INCENDIE
G;000000000370413;PIDC;PACKAGE IND CONDUCTEUR
G;000000000370413;PIPT;PACKAGE IPT
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;INC;INCENDIE
G;000000000370413;PIDC;PACKAGE IND CONDUCTEUR
G;000000000370413;PIPT;PACKAGE IPT
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;INC;INCENDIE
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370413;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370413;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370413;CP;COUT DE POLICE
G;000000000370413;INC;INCENDIE
G;000000000370413;RC;RESPONSABILITE CIVILE
G;000000000370413;RTI;RECOURS TIERS INCENDIE
G;000000000370413;VOL;VOL
G;000000000370820;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370820;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370820;CP;COUT DE POLICE
G;000000000370820;INC;INCENDIE
G;000000000370820;RC;RESPONSABILITE CIVILE
G;000000000370820;RTI;RECOURS TIERS INCENDIE
G;000000000370820;VOL;VOL
G;000000000370820;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000370820;CAS;CONTRE ASSURANCE SPECIALE
G;000000000370820;CP;COUT DE POLICE
G;000000000370820;DOC;DOMMAGES AVEC COLLISION
G;000000000370820;INC;INCENDIE
G;000000000370820;RC;RESPONSABILITE CIVILE
G;000000000370820;RTI;RECOURS TIERS INCENDIE
G;000000000370820;VOL;VOL
G;000000000371268;AAA;PRISE EN CHARGE
G;000000000371268;CAS;CONTRE ASSURANCE SPECIALE
G;000000000371268;CP;COUT DE POLICE
G;000000000371268;INC;INCENDIE
G;000000000371268;PIDC;PACKAGE IND CONDUCTEUR
G;000000000371268;RC;RESPONSABILITE CIVILE
G;000000000371268;RTI;RECOURS TIERS INCENDIE
G;000000000371268;VOL;VOL
G;000000000371268;AAA;PRISE EN CHARGE
G;000000000371268;CAS;CONTRE ASSURANCE SPECIALE
G;000000000371268;CP;COUT DE POLICE
G;000000000371268;INC;INCENDIE
G;000000000371268;PIDC;PACKAGE IND CONDUCTEUR
G;000000000371268;RC;RESPONSABILITE CIVILE
G;000000000371268;RTI;RECOURS TIERS INCENDIE
G;000000000371268;VOL;VOL
G;000000000371690;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000371690;BG;BRIS DE GLACE
G;000000000371690;CAS;CONTRE ASSURANCE SPECIALE
G;000000000371690;CP;COUT DE POLICE
G;000000000371690;INC;INCENDIE
G;000000000371690;RC;RESPONSABILITE CIVILE
G;000000000371690;RTI;RECOURS TIERS INCENDIE
G;000000000371690;VOL;VOL
G;000000000372289;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000372289;BG;BRIS DE GLACE
G;000000000372289;CAS;CONTRE ASSURANCE SPECIALE
G;000000000372289;CP;COUT DE POLICE
G;000000000372289;INC;INCENDIE
G;000000000372289;RC;RESPONSABILITE CIVILE
G;000000000372289;RTI;RECOURS TIERS INCENDIE
G;000000000372289;VOL;VOL
G;000000000372733;AAA;PRISE EN CHARGE
G;000000000372733;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000372733;BG;BRIS DE GLACE
G;000000000372733;CAS;CONTRE ASSURANCE SPECIALE
G;000000000372733;CP;COUT DE POLICE
G;000000000372733;EXF;EXT. TIERCE FORCES DE LA NATUR
G;000000000372733;EXI;EXTENSION INCENDIE
G;000000000372733;INC;INCENDIE
G;000000000372733;PIPT;PACKAGE IPT
G;000000000372733;RC;RESPONSABILITE CIVILE
G;000000000372733;RTI;RECOURS TIERS INCENDIE
G;000000000372733;VOL;VOL
G;000000000372965;ASS;ASS GOLD ET CARGLASS 60
G;000000000372965;BG;BRIS DE GLACE
G;000000000372965;CAS;CONTRE ASSURANCE SPECIALE
G;000000000372965;CP;COUT DE POLICE
G;000000000372965;DOC;DOMMAGES AVEC COLLISION
G;000000000372965;INC;INCENDIE
G;000000000372965;PIDC;PACKAGE IND CONDUCTEUR
G;000000000372965;PIPT;PACKAGE IPT
G;000000000372965;RC;RESPONSABILITE CIVILE
G;000000000372965;RTI;RECOURS TIERS INCENDIE
G;000000000372965;VOL;VOL
G;000000000373281;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000373281;BG;BRIS DE GLACE
G;000000000373281;CAS;CONTRE ASSURANCE SPECIALE
G;000000000373281;CP;COUT DE POLICE
G;000000000373281;INC;INCENDIE
G;000000000373281;PIDC;PACKAGE IND CONDUCTEUR
G;000000000373281;PIPT;PACKAGE IPT
G;000000000373281;RC;RESPONSABILITE CIVILE
G;000000000373281;RTI;RECOURS TIERS INCENDIE
G;000000000373281;VOL;VOL
G;000000000373425;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000373425;CAS;CONTRE ASSURANCE SPECIALE
G;000000000373425;CP;COUT DE POLICE
G;000000000373425;INC;INCENDIE
G;000000000373425;RC;RESPONSABILITE CIVILE
G;000000000373425;RTI;RECOURS TIERS INCENDIE
G;000000000373425;VOL;VOL
G;000000000374404;CAS;CONTRE ASSURANCE SPECIALE
G;000000000374404;CP;COUT DE POLICE
G;000000000374404;INC;INCENDIE
G;000000000374404;RC;RESPONSABILITE CIVILE
G;000000000374404;RTI;RECOURS TIERS INCENDIE
G;000000000374404;VOL;VOL
G;000000000374759;AAA;PRISE EN CHARGE
G;000000000374759;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000374759;CAS;CONTRE ASSURANCE SPECIALE
G;000000000374759;CP;COUT DE POLICE
G;000000000374759;INC;INCENDIE
G;000000000374759;PIDC;PACKAGE IND CONDUCTEUR
G;000000000374759;PIPT;PACKAGE IPT
G;000000000374759;RC;RESPONSABILITE CIVILE
G;000000000374759;RTI;RECOURS TIERS INCENDIE
G;000000000374759;VOL;VOL
G;000000000374759;AAA;PRISE EN CHARGE
G;000000000374759;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000374759;CAS;CONTRE ASSURANCE SPECIALE
G;000000000374759;CP;COUT DE POLICE
G;000000000374759;INC;INCENDIE
G;000000000374759;PIDC;PACKAGE IND CONDUCTEUR
G;000000000374759;PIPT;PACKAGE IPT
G;000000000374759;RC;RESPONSABILITE CIVILE
G;000000000374759;RTI;RECOURS TIERS INCENDIE
G;000000000374759;VOL;VOL
G;000000000374870;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000374870;BG;BRIS DE GLACE
G;000000000374870;CAS;CONTRE ASSURANCE SPECIALE
G;000000000374870;CP;COUT DE POLICE
G;000000000374870;EXT;EXTENSION DE TIERCE
G;000000000374870;INC;INCENDIE
G;000000000374870;RC;RESPONSABILITE CIVILE
G;000000000374870;RTI;RECOURS TIERS INCENDIE
G;000000000374870;TR;GARANTIE TIERCE
G;000000000374870;VOL;VOL
G;000000000374870;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000374870;BG;BRIS DE GLACE
G;000000000374870;CAS;CONTRE ASSURANCE SPECIALE
G;000000000374870;CP;COUT DE POLICE
G;000000000374870;EXT;EXTENSION DE TIERCE
G;000000000374870;INC;INCENDIE
G;000000000374870;RC;RESPONSABILITE CIVILE
G;000000000374870;RTI;RECOURS TIERS INCENDIE
G;000000000374870;TR;GARANTIE TIERCE
G;000000000374870;VOL;VOL
G;000000000374870;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000374870;BG;BRIS DE GLACE
G;000000000374870;CAS;CONTRE ASSURANCE SPECIALE
G;000000000374870;CP;COUT DE POLICE
G;000000000374870;EXT;EXTENSION DE TIERCE
G;000000000374870;INC;INCENDIE
G;000000000374870;RC;RESPONSABILITE CIVILE
G;000000000374870;RTI;RECOURS TIERS INCENDIE
G;000000000374870;TR;GARANTIE TIERCE
G;000000000374870;VOL;VOL
G;000000000375006;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375006;BG;BRIS DE GLACE
G;000000000375006;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375006;CP;COUT DE POLICE
G;000000000375006;DOC;DOMMAGES AVEC COLLISION
G;000000000375006;INC;INCENDIE
G;000000000375006;RC;RESPONSABILITE CIVILE
G;000000000375006;RTI;RECOURS TIERS INCENDIE
G;000000000375006;VOL;VOL
G;000000000375006;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375006;BG;BRIS DE GLACE
G;000000000375006;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375006;CP;COUT DE POLICE
G;000000000375006;DOC;DOMMAGES AVEC COLLISION
G;000000000375006;INC;INCENDIE
G;000000000375006;RC;RESPONSABILITE CIVILE
G;000000000375006;RTI;RECOURS TIERS INCENDIE
G;000000000375006;VOL;VOL
G;000000000375006;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375006;BG;BRIS DE GLACE
G;000000000375006;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375006;CP;COUT DE POLICE
G;000000000375006;DOC;DOMMAGES AVEC COLLISION
G;000000000375006;INC;INCENDIE
G;000000000375006;RC;RESPONSABILITE CIVILE
G;000000000375006;RTI;RECOURS TIERS INCENDIE
G;000000000375006;VOL;VOL
G;000000000375006;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375006;BG;BRIS DE GLACE
G;000000000375006;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375006;CP;COUT DE POLICE
G;000000000375006;DOC;DOMMAGES AVEC COLLISION
G;000000000375006;INC;INCENDIE
G;000000000375006;RC;RESPONSABILITE CIVILE
G;000000000375006;RTI;RECOURS TIERS INCENDIE
G;000000000375006;VOL;VOL
G;000000000375006;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375006;BG;BRIS DE GLACE
G;000000000375006;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375006;CP;COUT DE POLICE
G;000000000375006;DOC;DOMMAGES AVEC COLLISION
G;000000000375006;INC;INCENDIE
G;000000000375006;RC;RESPONSABILITE CIVILE
G;000000000375006;RTI;RECOURS TIERS INCENDIE
G;000000000375006;VOL;VOL
G;000000000375245;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375245;BG;BRIS DE GLACE
G;000000000375245;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375245;CP;COUT DE POLICE
G;000000000375245;DOC;DOMMAGES AVEC COLLISION
G;000000000375245;INC;INCENDIE
G;000000000375245;RC;RESPONSABILITE CIVILE
G;000000000375245;RTI;RECOURS TIERS INCENDIE
G;000000000375245;VOL;VOL
G;000000000375429;AAA;PRISE EN CHARGE
G;000000000375429;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375429;CP;COUT DE POLICE
G;000000000375429;INC;INCENDIE
G;000000000375429;PIDC;PACKAGE IND CONDUCTEUR
G;000000000375429;RC;RESPONSABILITE CIVILE
G;000000000375429;RTI;RECOURS TIERS INCENDIE
G;000000000375429;VOL;VOL
G;000000000375621;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000375621;CAS;CONTRE ASSURANCE SPECIALE
G;000000000375621;CP;COUT DE POLICE
G;000000000375621;INC;INCENDIE
G;000000000375621;RC;RESPONSABILITE CIVILE
G;000000000375621;RTI;RECOURS TIERS INCENDIE
G;000000000375621;TR;GARANTIE TIERCE
G;000000000375621;VOL;VOL
G;000000000376286;ASS;ASS GOLD ET CARGLASS 60
G;000000000376286;CAS;CONTRE ASSURANCE SPECIALE
G;000000000376286;CP;COUT DE POLICE
G;000000000376286;INC;INCENDIE
G;000000000376286;RC;RESPONSABILITE CIVILE
G;000000000376286;RTI;RECOURS TIERS INCENDIE
G;000000000376286;VOL;VOL
G;000000000376337;AAA;PRISE EN CHARGE
G;000000000376337;CAS;CONTRE ASSURANCE SPECIALE
G;000000000376337;CP;COUT DE POLICE
G;000000000376337;INC;INCENDIE
G;000000000376337;RC;RESPONSABILITE CIVILE
G;000000000376337;RTI;RECOURS TIERS INCENDIE
G;000000000376337;VOL;VOL
G;000000000376740;CAS;CONTRE ASSURANCE SPECIALE
G;000000000376740;CP;COUT DE POLICE
G;000000000376740;INC;INCENDIE
G;000000000376740;RC;RESPONSABILITE CIVILE
G;000000000376740;RTI;RECOURS TIERS INCENDIE
G;000000000376740;VOL;VOL
G;000000000377069;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000377069;CAS;CONTRE ASSURANCE SPECIALE
G;000000000377069;CP;COUT DE POLICE
G;000000000377069;INC;INCENDIE
G;000000000377069;PIPT;PACKAGE IPT
G;000000000377069;RC;RESPONSABILITE CIVILE
G;000000000377069;RTI;RECOURS TIERS INCENDIE
G;000000000377069;VOL;VOL
G;000000000377389;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000377389;CAS;CONTRE ASSURANCE SPECIALE
G;000000000377389;CP;COUT DE POLICE
G;000000000377389;INC;INCENDIE
G;000000000377389;RC;RESPONSABILITE CIVILE
G;000000000377389;RTI;RECOURS TIERS INCENDIE
G;000000000377389;VOL;VOL
G;000000000377774;AAA;PRISE EN CHARGE
G;000000000377774;ASS;ASS GOLD ET CARGLASS 60
G;000000000377774;CAS;CONTRE ASSURANCE SPECIALE
G;000000000377774;CP;COUT DE POLICE
G;000000000377774;EXF;EXT. TIERCE FORCES DE LA NATUR
G;000000000377774;EXI;EXTENSION INCENDIE
G;000000000377774;INC;INCENDIE
G;000000000377774;PIDC;PACKAGE IND CONDUCTEUR
G;000000000377774;PIPT;PACKAGE IPT
G;000000000377774;RC;RESPONSABILITE CIVILE
G;000000000377774;RTI;RECOURS TIERS INCENDIE
G;000000000377774;VOL;VOL
G;000000000377817;CAS;CONTRE ASSURANCE SPECIALE
G;000000000377817;CP;COUT DE POLICE
G;000000000377817;INC;INCENDIE
G;000000000377817;RC;RESPONSABILITE CIVILE
G;000000000377817;RTI;RECOURS TIERS INCENDIE
G;000000000377817;VOL;VOL
G;000000000377880;ASS;ASS GOLD ET CARGLASS 60
G;000000000377880;CAS;CONTRE ASSURANCE SPECIALE
G;000000000377880;CP;COUT DE POLICE
G;000000000377880;INC;INCENDIE
G;000000000377880;RC;RESPONSABILITE CIVILE
G;000000000377880;RTI;RECOURS TIERS INCENDIE
G;000000000377880;VOL;VOL
G;000000000378045;AAA;PRISE EN CHARGE
G;000000000378045;ASSA;ASSISTANCE GOLD 10JR SS CARGL
G;000000000378045;BG;BRIS DE GLACE
G;000000000378045;CAS;CONTRE ASSURANCE SPECIALE
G;000000000378045;CP;COUT DE POLICE
G;000000000378045;DOC;DOMMAGES AVEC COLLISION
G;000000000378045;INC;INCENDIE
G;000000000378045;RC;RESPONSABILITE CIVILE
G;000000000378045;RTI;RECOURS TIERS INCENDIE
G;000000000378045;VOL;VOL
G;000000000378883;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000378883;BG;BRIS DE GLACE
G;000000000378883;CAS;CONTRE ASSURANCE SPECIALE
G;000000000378883;CP;COUT DE POLICE
G;000000000378883;DOC;DOMMAGES AVEC COLLISION
G;000000000378883;INC;INCENDIE
G;000000000378883;RC;RESPONSABILITE CIVILE
G;000000000378883;RTI;RECOURS TIERS INCENDIE
G;000000000378883;VOL;VOL
G;000000000379781;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000379781;BG;BRIS DE GLACE
G;000000000379781;CAS;CONTRE ASSURANCE SPECIALE
G;000000000379781;CP;COUT DE POLICE
G;000000000379781;INC;INCENDIE
G;000000000379781;RC;RESPONSABILITE CIVILE
G;000000000379781;RTI;RECOURS TIERS INCENDIE
G;000000000379781;VOL;VOL
G;000000000379934;CAS;CONTRE ASSURANCE SPECIALE
G;000000000379934;CP;COUT DE POLICE
G;000000000379934;INC;INCENDIE
G;000000000379934;RC;RESPONSABILITE CIVILE
G;000000000379934;RTI;RECOURS TIERS INCENDIE
G;000000000379934;VOL;VOL
G;000000000380519;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000380519;BG;BRIS DE GLACE
G;000000000380519;CAS;CONTRE ASSURANCE SPECIALE
G;000000000380519;CP;COUT DE POLICE
G;000000000380519;INC;INCENDIE
G;000000000380519;PIDC;PACKAGE IND CONDUCTEUR
G;000000000380519;PIPT;PACKAGE IPT
G;000000000380519;RC;RESPONSABILITE CIVILE
G;000000000380519;RTI;RECOURS TIERS INCENDIE
G;000000000380519;VOL;VOL
G;000000000380813;CAS;CONTRE ASSURANCE SPECIALE
G;000000000380813;CP;COUT DE POLICE
G;000000000380813;INC;INCENDIE
G;000000000380813;RC;RESPONSABILITE CIVILE
G;000000000380813;RTI;RECOURS TIERS INCENDIE
G;000000000380813;TR;GARANTIE TIERCE
G;000000000380813;VOL;VOL
G;000000000381106;CAS;CONTRE ASSURANCE SPECIALE
G;000000000381106;CP;COUT DE POLICE
G;000000000381106;INC;INCENDIE
G;000000000381106;RC;RESPONSABILITE CIVILE
G;000000000381106;RTI;RECOURS TIERS INCENDIE
G;000000000381106;VOL;VOL
G;000000000381306;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000381306;BG;BRIS DE GLACE
G;000000000381306;CAS;CONTRE ASSURANCE SPECIALE
G;000000000381306;CP;COUT DE POLICE
G;000000000381306;EXI;EXTENSION INCENDIE
G;000000000381306;EXT;EXTENSION DE TIERCE
G;000000000381306;INC;INCENDIE
G;000000000381306;RC;RESPONSABILITE CIVILE
G;000000000381306;RTI;RECOURS TIERS INCENDIE
G;000000000381306;TR;GARANTIE TIERCE
G;000000000381306;VOL;VOL
G;000000000381317;ASS;ASS GOLD ET CARGLASS 60
G;000000000381317;CAS;CONTRE ASSURANCE SPECIALE
G;000000000381317;CP;COUT DE POLICE
G;000000000381317;DOC;DOMMAGES AVEC COLLISION
G;000000000381317;INC;INCENDIE
G;000000000381317;RC;RESPONSABILITE CIVILE
G;000000000381317;RTI;RECOURS TIERS INCENDIE
G;000000000381317;VOL;VOL
G;000000000381714;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000381714;CAS;CONTRE ASSURANCE SPECIALE
G;000000000381714;CP;COUT DE POLICE
G;000000000381714;INC;INCENDIE
G;000000000381714;RC;RESPONSABILITE CIVILE
G;000000000381714;RTI;RECOURS TIERS INCENDIE
G;000000000381714;VOL;VOL
G;000000000381796;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000381796;CAS;CONTRE ASSURANCE SPECIALE
G;000000000381796;CP;COUT DE POLICE
G;000000000381796;EXT;EXTENSION DE TIERCE
G;000000000381796;INC;INCENDIE
G;000000000381796;RC;RESPONSABILITE CIVILE
G;000000000381796;RTI;RECOURS TIERS INCENDIE
G;000000000381796;TR;GARANTIE TIERCE
G;000000000381796;VOL;VOL
G;000000000381802;CAS;CONTRE ASSURANCE SPECIALE
G;000000000381802;CP;COUT DE POLICE
G;000000000381802;INC;INCENDIE
G;000000000381802;PIDC;PACKAGE IND CONDUCTEUR
G;000000000381802;PIPT;PACKAGE IPT
G;000000000381802;RC;RESPONSABILITE CIVILE
G;000000000381802;RTI;RECOURS TIERS INCENDIE
G;000000000381802;VOL;VOL
G;000000000382205;AAA;PRISE EN CHARGE
G;000000000382205;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000382205;BG;BRIS DE GLACE
G;000000000382205;CAS;CONTRE ASSURANCE SPECIALE
G;000000000382205;CP;COUT DE POLICE
G;000000000382205;INC;INCENDIE
G;000000000382205;PIDC;PACKAGE IND CONDUCTEUR
G;000000000382205;RC;RESPONSABILITE CIVILE
G;000000000382205;RTI;RECOURS TIERS INCENDIE
G;000000000382205;VOL;VOL
G;000000000383072;ASS;ASS GOLD ET CARGLASS 60
G;000000000383072;CAS;CONTRE ASSURANCE SPECIALE
G;000000000383072;CP;COUT DE POLICE
G;000000000383072;INC;INCENDIE
G;000000000383072;RC;RESPONSABILITE CIVILE
G;000000000383072;RTI;RECOURS TIERS INCENDIE
G;000000000383072;TR;GARANTIE TIERCE
G;000000000383072;VOL;VOL
G;000000000383279;AAA;PRISE EN CHARGE
G;000000000383279;CAS;CONTRE ASSURANCE SPECIALE
G;000000000383279;CP;COUT DE POLICE
G;000000000383279;INC;INCENDIE
G;000000000383279;PIDC;PACKAGE IND CONDUCTEUR
G;000000000383279;PIPT;PACKAGE IPT
G;000000000383279;RC;RESPONSABILITE CIVILE
G;000000000383279;RTI;RECOURS TIERS INCENDIE
G;000000000383279;VOL;VOL
G;000000000383458;CAS;CONTRE ASSURANCE SPECIALE
G;000000000383458;CP;COUT DE POLICE
G;000000000383458;INC;INCENDIE
G;000000000383458;PIPT;PACKAGE IPT
G;000000000383458;RC;RESPONSABILITE CIVILE
G;000000000383458;RTI;RECOURS TIERS INCENDIE
G;000000000383458;VOL;VOL
G;000000000384562;ASSP;ASS GOLD 10JR ET CARGLASS
G;000000000384562;BG;BRIS DE GLACE
G;000000000384562;CAS;CONTRE ASSURANCE SPECIALE
G;000000000384562;CP;COUT DE POLICE
G;000000000384562;DOC;DOMMAGES AVEC COLLISION
G;000000000384562;INC;INCENDIE
G;000000000384562;PIDC;PACKAGE IND CONDUCTEUR
G;000000000384562;PIPT;PACKAGE IPT
G;000000000384562;RC;RESPONSABILITE CIVILE
G;000000000384562;RTI;RECOURS TIERS INCENDIE
G;000000000384562;VOL;VOL
G;000000000385370;CAS;CONTRE ASSURANCE SPECIALE
G;000000000385370;CP;COUT DE POLICE
G;000000000385370;INC;INCENDIE
G;000000000385370;RC;RESPONSABILITE CIVILE
G;000000000385370;RTI;RECOURS TIERS INCENDIE
G;000000000385370;VOL;VOL
G;000000000385370;CAS;CONTRE ASSURANCE SPECIALE
G;000000000385370;CP;COUT DE POLICE
G;000000000385370;INC;INCENDIE
G;000000000385370;PIPT;PACKAGE IPT
G;000000000385370;RC;RESPONSABILITE CIVILE
G;000000000385370;RTI;RECOURS TIERS INCENDIE
G;000000000385370;VOL;VOL
G;000000000385370;CAS;CONTRE ASSURANCE SPECIALE
G;000000000385370;CP;COUT DE POLICE
G;000000000385370;INC;INCENDIE
G;000000000385370;RC;RESPONSABILITE CIVILE
G;000000000385370;RTI;RECOURS TIERS INCENDIE
G;000000000385370;VOL;VOL
G;000000000385370;CAS;CONTRE ASSURANCE SPECIALE
G;000000000385370;CP;COUT DE POLICE
G;000000000385370;INC;INCENDIE
G;000000000385370;RC;RESPONSABILITE CIVILE
G;000000000385370;RTI;RECOURS TIERS INCENDIE
G;000000000385370;VOL;VOL
